46,Nada Nada - Ao Vivo,Henrique & Juliano,559191,https://open.spotify.com/track/0GR7ZABhVF9GbxghIx2RRv
47,Impasse - Ao Vivo,Marília Mendonça,542940,https://open.spotify.com/track/5s2ydrmJOiPeZGx4S4X8Aw
48,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,539740,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
49,This Girl - Kungs Vs. Cookin' On 3 Burners,Kungs,536784,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
50,Sorry,Justin Bieber,534942,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
51,Mercy,Shawn Mendes,507577,https://open.spotify.com/track/3OalxlWH0v14kyBcNBMINt
52,O Que Falta Em Você Sou Eu - Ao Vivo,Marília Mendonça,471015,https://open.spotify.com/track/3XSefjiSHsD34F7clH84xa
53,"Que Sorte A Nossa - Live At Vila Mix, Brasília / 2015",Matheus & Kauan,468435,https://open.spotify.com/track/4rWCLK8mfQ6JpArmgIT8aK
54,All We Know,The Chainsmokers,467959,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
55,Heathens,Twenty One Pilots,448440,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
56,Cool Girl,Tove Lo,443819,https://open.spotify.com/track/5dKyZWlgjWw1oJgLa4GCZD
57,Fala a Verdade - Ao Vivo,Maiara & Maraisa,442402,https://open.spotify.com/track/3QhJAGDdxt749dFveYVy4M
58,Bumbum Granada,Mc's Zaac & Jerry,439916,https://open.spotify.com/track/4SCH5CuivFcShLpTg8lYOf
59,Você Merece Cachê - Ao Vivo,Israel Novaes,435097,https://open.spotify.com/track/1ypcU9264wnBwPvmrIy4fx
60,Amei Te Ver (Acústica) - Acústica,Tiago Iorc,433564,https://open.spotify.com/track/0bX2gnECXZJ5nt7rcIZMVM
61,Nada Bom II,Costa Gold,429783,https://open.spotify.com/track/0Mh4id8WvrTFOB9RiVitrB
62,Ain't My Fault,Zara Larsson,429411,https://open.spotify.com/track/4nA0biSjtvOL41Hd9MBXqR
