Position,"Track Name",Artist,Streams,URL
1,Closer,"The Chainsmokers",1612741,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
2,"Eu Sei de Cor - Ao Vivo | Acústico","Marília Mendonça",1388629,https://open.spotify.com/track/45wqPwIH4A5cr2IyyD4WKf
3,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",1181044,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
4,"Medo Bobo - Ao Vivo","Maiara & Maraisa",1171227,https://open.spotify.com/track/2CW04trIoYMbroZWDzPAjs
5,"Sim ou não (Participação especial Maluma)",Anitta,1134901,https://open.spotify.com/track/4FxumkF81ICxITeqxx4nK9
6,"Let Me Love You","DJ Snake",1131056,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
7,"10% - Ao Vivo","Maiara & Maraisa",1118746,https://open.spotify.com/track/2wFnRPjuqwNySFiK0Qfg8L
8,Starboy,"The Weeknd",990966,https://open.spotify.com/track/7lQqaqZu0vjxzpdATOIsDt
9,"Eu, Você, O Mar e Ela","Luan Santana",977985,https://open.spotify.com/track/000xYdQfIZ4pDmBGzQalKU
10,"Decide Aí - Na Praia / Ao Vivo","Matheus & Kauan",976658,https://open.spotify.com/track/0jIitZeIQRTaZgFQf2WpGK
11,"Don't Wanna Know","Maroon 5",972309,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
12,"My Way","Calvin Harris",971704,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
13,"50 Reais","Naiara Azevedo",965722,https://open.spotify.com/track/2DAGCHu5aoo2FOjmtU9ojo
14,"Meu Coração Deu PT - Ao Vivo","Wesley Safadão",962321,https://open.spotify.com/track/6zCqeUUqLb2CapBmVwAHll
15,"The Greatest",Sia,922453,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
16,"Infiel - Ao Vivo","Marília Mendonça",906543,https://open.spotify.com/track/38MpAndIjGAyVdcC6npX95
17,"One Dance",Drake,892970,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
18,"Side To Side","Ariana Grande",892657,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
19,"Paredes - Ao Vivo","Jorge & Mateus",878770,https://open.spotify.com/track/2GfxgssRHvY1azHtaRqKoK
20,"Como Faz Com Ela - Ao Vivo","Marília Mendonça",871575,https://open.spotify.com/track/2Gvn46nwyQhUnQiFhlP7WX
21,"E Essa Boca Aí? - Ao Vivo","Bruninho & Davi",862854,https://open.spotify.com/track/0Kr77AosR2k944IhHm8zhH
22,"O Nosso Santo Bateu - Na Praia / Ao Vivo","Matheus & Kauan",816604,https://open.spotify.com/track/6SwI4OplF8m5NH8wHKIps8
23,"In the Name of Love","Martin Garrix",803789,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
24,Tumbalatum,"Mc Kevinho",777916,https://open.spotify.com/track/4aAq1afusFG6jRiOSHQZvN
25,"24K Magic","Bruno Mars",777129,https://open.spotify.com/track/2gFvRmQiWg9fN9i74Q0aiw
26,"Louca de Saudade - Ao Vivo","Jorge & Mateus",752464,https://open.spotify.com/track/2InJDvDcA4RXEeA9njdibl
27,"Hear Me Now",Alok,745967,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
28,"Ou Some Ou Soma - Ao Vivo","Jorge & Mateus",736038,https://open.spotify.com/track/3dRBzTOu9polrH9U6Vh2zw
