Position,"Track Name",Artist,Streams,URL
29,"Como É Que a Gente Fica - Ao Vivo","Henrique & Juliano",720933,https://open.spotify.com/track/41mt7YrfLrIc4EQJZFCJtw
30,"Treat You Better","Shawn Mendes",719282,https://open.spotify.com/track/76t5B0ttSAje5KHmQbv88t
31,"Sosseguei - Ao Vivo","Jorge & Mateus",718181,https://open.spotify.com/track/1xFgXCY8Zvo76gHg4RgUaU
32,"Na Hora da Raiva - Ao Vivo","Henrique & Juliano",685575,https://open.spotify.com/track/0Zu7NVn4IvfYuEIrD11UVr
33,"This Is What You Came For","Calvin Harris",674395,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
34,"Don't Let Me Down","The Chainsmokers",666789,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
35,Malandramente,"Dennis DJ",650461,https://open.spotify.com/track/7DRP2VOMpy1rrk3iYFLCW9
36,"Ela Só Quer Paz",Projota,649266,https://open.spotify.com/track/3mTUqLbtWm2DAEwvQTyu4d
37,"Vou Voando - Ao Vivo","Jorge & Mateus",647525,https://open.spotify.com/track/1WCn5QBp0Kl9uHrR0J02GS
38,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",646145,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
39,"A Rosa E O Beija-Flor - Na Praia / Ao Vivo","Matheus & Kauan",646124,https://open.spotify.com/track/4GQVVsUnMbZeKIx9vguKlg
40,"Flor e o Beija-Flor - Ao Vivo","Henrique & Juliano",643026,https://open.spotify.com/track/0phVJ23NJlruwtt1XCm94N
41,"Pra Sempre Com Você - Ao Vivo","Jorge & Mateus",635935,https://open.spotify.com/track/2KGv51jgAz8OTjNPyRryfq
42,Mercy,"Shawn Mendes",627091,https://open.spotify.com/track/3OalxlWH0v14kyBcNBMINt
43,"Cheap Thrills",Sia,624093,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
44,"Homem de Família - Ao Vivo","Gusttavo Lima",623507,https://open.spotify.com/track/12wiyBZqQ3mOU7AfygXJCw
45,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",623473,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
46,"Nada Nada - Ao Vivo","Henrique & Juliano",617763,https://open.spotify.com/track/0GR7ZABhVF9GbxghIx2RRv
47,Bom,Ludmilla,615265,https://open.spotify.com/track/25SL3ZSbEGtu4oU14xllMQ
48,"Impasse - Ao Vivo","Marília Mendonça",614009,https://open.spotify.com/track/5s2ydrmJOiPeZGx4S4X8Aw
49,"Hymn For The Weekend - Seeb Remix",Coldplay,603835,https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu
50,Sorry,"Justin Bieber",554357,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
51,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",538268,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
52,"O Que Falta Em Você Sou Eu - Ao Vivo","Marília Mendonça",534016,https://open.spotify.com/track/3XSefjiSHsD34F7clH84xa
53,"Estaca Zero","Luan Santana",511937,https://open.spotify.com/track/5OZqnhkGUxuSuW2P7CzH7y
54,"Que Sorte A Nossa - Live At Vila Mix, Brasília / 2015","Matheus & Kauan",504012,https://open.spotify.com/track/4rWCLK8mfQ6JpArmgIT8aK
55,"Ain't My Fault","Zara Larsson",489925,https://open.spotify.com/track/4nA0biSjtvOL41Hd9MBXqR
56,"Black Beatles","Rae Sremmurd",485910,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
57,"Você Merece Cachê - Live At Boate Villa Mix","Israel Novaes",485276,https://open.spotify.com/track/1ypcU9264wnBwPvmrIy4fx
58,"Bumbum Granada","Mc's Zaac & Jerry",483820,https://open.spotify.com/track/4SCH5CuivFcShLpTg8lYOf
59,"Fala a Verdade - Ao Vivo","Maiara & Maraisa",483122,https://open.spotify.com/track/3QhJAGDdxt749dFveYVy4M
60,Heathens,"Twenty One Pilots",473840,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
61,"All We Know","The Chainsmokers",469905,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
62,"Seu Polícia - Ao Vivo","Zé Neto & Cristiano",464530,https://open.spotify.com/track/7CmuLM2vfzA78iHeqastoP
63,"Parece Piada - Ao Vivo","Henrique & Juliano",464050,https://open.spotify.com/track/3cS6YsU197mrdPTyR7nbp7
64,"Suíte 14 - Ao Vivo","Henrique & Diego",459928,https://open.spotify.com/track/4lbPwb1Beo7JU2VwuJRTeR
65,"Amei Te Ver (Acústica) - Acústica","Tiago Iorc",455470,https://open.spotify.com/track/0bX2gnECXZJ5nt7rcIZMVM
66,"Nada Bom II","Costa Gold",453447,https://open.spotify.com/track/0Mh4id8WvrTFOB9RiVitrB
67,Fantasma,"Luan Santana",451553,https://open.spotify.com/track/5Nw3HvX6k8cB7NjEkqJkij
68,"Cake By The Ocean",DNCE,448615,https://open.spotify.com/track/7L5jgZtAyfiU7elB8DIqCx
69,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,446626,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
70,"Quase um Casal - Ao Vivo","Maiara & Maraisa",444286,https://open.spotify.com/track/3BhctwMUY5Y9xmes194QTq
71,"Tudo de Bom","Mc Livinho",436254,https://open.spotify.com/track/5XRtwljsug3r3XOBy9Bndu
72,"Cool Girl","Tove Lo",433988,https://open.spotify.com/track/5dKyZWlgjWw1oJgLa4GCZD
73,"Send My Love (To Your New Lover)",Adele,431765,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
74,Work,Rihanna,428828,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
75,"Scars To Your Beautiful","Alessia Cara",427503,https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq
76,"Work from Home","Fifth Harmony",426214,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
77,"Incerteza - Na Praia / Ao Vivo","Matheus & Kauan",424380,https://open.spotify.com/track/1FTsXXwai3jVXhBTLd4e4L
78,Alarm,Anne-Marie,424078,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg
79,"Aquele 1% - Ao Vivo","Marcos & Belutti",422923,https://open.spotify.com/track/62LiYpeFoJaixqkaNRGg47
80,"Na Ponta Ela Fica","Mc Delano",416011,https://open.spotify.com/track/1OtZIaJBXo3Pe6nfaMsjKT
81,Starving,"Hailee Steinfeld",410412,https://open.spotify.com/track/6DG2g1UhROp5pnM8fx7zH2
82,"Stressed Out","Twenty One Pilots",409987,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
83,"Amei Te Ver","Tiago Iorc",409406,https://open.spotify.com/track/709JwRc9hLS8fjfgXlwxA5
84,"Faz Parte - Ao Vivo",Projota,406708,https://open.spotify.com/track/0J1TzQOuHyS7KA6Sq33flE
85,"Essa mina é louca (Participação especial Jhama)",Anitta,406291,https://open.spotify.com/track/5Bn6W4bwH7Bw5nMvn8V4xF
86,Chantaje,Shakira,394741,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
87,"Say You Won't Let Go","James Arthur",394207,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
88,Ride,"Twenty One Pilots",390561,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
89,Capsize,FRENSHIP,390314,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
90,"i hate u, i love u (feat. olivia o'brien)",gnash,385962,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
91,"Shout Out to My Ex","Little Mix",378030,https://open.spotify.com/track/6wZ8kvKP9d1MKlNFTMZrBK
92,"Agora Eu Quero Ir",Anavitória,368196,https://open.spotify.com/track/2yGnStdGP0V45lPXAJpmDb
93,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",361961,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
94,"Fake Love",Drake,359758,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN
95,"Perfect Illusion","Lady Gaga",351764,https://open.spotify.com/track/5ou59ERA2f7ffyAxAcZyVz
96,"Love Yourself","Justin Bieber",342069,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
97,"Te Assumi Pro Brasil - Na Praia 2 / Ao Vivo","Matheus & Kauan",332948,https://open.spotify.com/track/4JWvILyOVmhPqXgSSjVB4p
98,Photograph,"Ed Sheeran",330114,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
99,"Call On Me - Ryan Riback Extended Remix",Starley,321371,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
100,"Lean On (feat. MØ & DJ Snake)","Major Lazer",315463,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
101,"Malbec - Ao Vivo","Henrique & Diego",313469,https://open.spotify.com/track/7vLG0D8ouHd4brF5TVJQya
102,"DUELE EL CORAZON","Enrique Iglesias",306779,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
103,"Perfect Strangers","Jonas Blue",297075,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
104,Panda,Desiigner,295397,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
105,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",293156,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
106,"De Buenas","Lucas Lucco",290666,https://open.spotify.com/track/4NpFX0f0GfJgy92c9ypVxk
107,"Sentimento Louco - Ao Vivo","Marília Mendonça",286134,https://open.spotify.com/track/5YdC74tZejyq3vurDOLFYz
108,"Needed Me",Rihanna,285183,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
109,"That's My Girl","Fifth Harmony",284884,https://open.spotify.com/track/2ACOWPLUe4A4KuQ5ioD2od
110,"Me Espera",Sandy,279526,https://open.spotify.com/track/4xHkRNzzHtj3O3Z1pjYWRC
111,"Too Good",Drake,278998,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
112,"7 Years","Lukas Graham",272504,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
113,"De Tanto Te Querer - Ao Vivo","Jorge & Mateus",268336,https://open.spotify.com/track/3HrvG1d9OZpg6eV4A1dcSk
114,"Into You","Ariana Grande",267790,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
115,PILLOWTALK,ZAYN,266973,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
116,Partiu,"Mc Kekel",266342,https://open.spotify.com/track/1LTxGBL6yKtfmW3K8EvbSY
117,"Let Me Hold You (Turn Me On)","Dante Klein",260386,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
118,A-YO,"Lady Gaga",257733,https://open.spotify.com/track/6FopJmIHgp2ADIHEDrJixZ
119,"The Ocean","Mike Perry",253775,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
120,"What Do You Mean?","Justin Bieber",251118,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
121,"Saudade do Meu Ex - Ao Vivo | Acústico","Marília Mendonça",249042,https://open.spotify.com/track/5ZCwyAL9zbEJVmmNQwt9lE
122,"Would I Lie To You - Radio Edit","David Guetta",245648,https://open.spotify.com/track/4PdJSsESm34djLfBde9Pr2
123,Chandelier,Sia,245226,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
124,"Kill Em With Kindness","Selena Gomez",244675,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ
125,"No Money",Galantis,243701,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
126,"Os Anjos Cantam","Jorge & Mateus",243596,https://open.spotify.com/track/6ccKu0LwJzOhLAxBwP2PTk
127,"The Mack",Nevada,239556,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
128,"Sou eu",Ludmilla,237456,https://open.spotify.com/track/1Tn0msQvQMbD6woO9VnEG3
129,"Deixa a Gente Quieto - Ao Vivo","João Bosco & Vinicius",236206,https://open.spotify.com/track/4PNi30UilK0CZi2z9wegMQ
130,"Setting Fires","The Chainsmokers",235278,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
131,"Duvido Você Não Tomar Uma - Ao Vivo","Simone e Simaria",234597,https://open.spotify.com/track/6S8yTw0KfidwuAq5Y6Bygj
132,Faded,"Alan Walker",234395,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
133,"Dia, Lugar e Hora","Luan Santana",234187,https://open.spotify.com/track/0bAtYUcHyGlOj5R3eNjHhA
134,"Hotline Bling",Drake,233237,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6
135,"Adventure Of A Lifetime",Coldplay,232780,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
136,Bang,Anitta,230678,https://open.spotify.com/track/1Cml3fnCNLZUC1EEtkcgVb
137,"Final Song",MØ,227163,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
138,"This Town","Niall Horan",226696,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7
139,Stitches,"Shawn Mendes",226516,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
140,"Made In Roça",Loubet,224978,https://open.spotify.com/track/7clSIA4MRU6LJAoCWWEiuy
141,"Juju On That Beat (TZ Anthem)","Zay Hilfigerrr",224766,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd
142,Controlla,Drake,223104,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
143,"How Deep Is Your Love","Calvin Harris",221223,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
144,Sugar,"Maroon 5",220438,https://open.spotify.com/track/494OU6M7NOf4ICYb4zWCf5
145,Rg,"Luan Santana",220095,https://open.spotify.com/track/5oVVAwRQnXJDEHFNeganG0
146,"Fresh Eyes","Andy Grammer",219935,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3
147,"Quando O Mel É Bom - Ao Vivo","Simone e Simaria",219562,https://open.spotify.com/track/21j9YxYHSzrdcLBX3mb5UL
148,"Regime Fechado - Ao Vivo","Simone e Simaria",219460,https://open.spotify.com/track/6UZJOc2HBrTp9DYfir9N8n
149,"Meu Violão E O Nosso Cachorro - Ao Vivo","Simone e Simaria",218203,https://open.spotify.com/track/68y9Wxhai4e17Ywvnz76vY
150,"Hoje Somos Só Metade - Ao Vivo","Marília Mendonça",218080,https://open.spotify.com/track/2bKuHYkbEpKgNNVQ0eGJlB
151,"Antônimos - Ao Vivo","Jorge & Mateus",217844,https://open.spotify.com/track/3SWIpewrd1V1iw09lim55f
152,"This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016","David Guetta",217757,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
153,"Você Faz Falta Aqui - Ao Vivo | Acústico","Maiara & Maraisa",217456,https://open.spotify.com/track/19Ggp86mkEnRw93u91IJPO
154,"Cheia de Marra","Mc Livinho",216605,https://open.spotify.com/track/4gvePWCd0GfkC40QshflUy
155,"Folgado - Ao Vivo","Marília Mendonça",214999,https://open.spotify.com/track/4DYmJ19DhmxUe26QhANDYv
156,"Amor Mal Resolvido - Ao Vivo","Simone e Simaria",214542,https://open.spotify.com/track/2uhk6Fi514vtRKxKAn93zm
157,"Solteiro de Novo - Ao Vivo","Wesley Safadão",214517,https://open.spotify.com/track/0Or4rCFurYpUxYh0bbpxRY
158,Sexual,NEIKED,213561,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
159,"Minha Felicidade","Roberta Campos",213259,https://open.spotify.com/track/6vARbzVXg90V8fYmgks5u3
160,"Do I Wanna Know?","Arctic Monkeys",212150,https://open.spotify.com/track/2UzMpPKPhbcC8RbsmuURAZ
161,"On Hold","The xx",211029,https://open.spotify.com/track/4w2iAP3X4FkpPb5kjRdIDx
162,"Acordando o Prédio","Luan Santana",210713,https://open.spotify.com/track/4MHixqOTi1FrQiatxuUqke
163,"You & Me","Marc E. Bassy",208638,https://open.spotify.com/track/4QdovcM8j50QPlyR7tH4xe
164,"Hymn For The Weekend",Coldplay,208231,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
165,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",207160,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
166,"Coração Machucado - Ao Vivo","Wesley Safadão",206200,https://open.spotify.com/track/0GhaUJVyWwAKDELlAAFWyo
167,"O Que É Amor Pra Você - Ao Vivo","Marília Mendonça",203905,https://open.spotify.com/track/1DdnD06naRACOpK8lAnLp1
168,Roses,"The Chainsmokers",203469,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
169,"Quem Tava Lá?","Costa Gold",200201,https://open.spotify.com/track/3NBA1vKfDlg0iTDt7WJbaW
170,"Sugar (feat. Francesco Yates)","Robin Schulz",198937,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
171,"Mama Said","Lukas Graham",198936,https://open.spotify.com/track/5ArQzSBevAdXTxRY6Ulhbq
172,"Sweet Child O' Mine","Guns N' Roses",198630,https://open.spotify.com/track/5r9AgnhkPQXeKG1w5rauDq
173,"Até Ex Duvida - Ao Vivo","Day e Lara",196233,https://open.spotify.com/track/6jPkYQ3B7b753JTZhR207H
174,"Blow Your Mind (Mwah)","Dua Lipa",195463,https://open.spotify.com/track/7kJlTKjNZVT26iwiDUVhRm
175,Middle,"DJ Snake",193030,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n
176,"The Scientist",Coldplay,190548,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
177,"Não Me Deixe Sozinho","Nego do Borel",189545,https://open.spotify.com/track/0gNxi721t2RcPt5LdWGfpb
178,Company,"Justin Bieber",188899,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn
179,"Se Olha No Espelho - Ao Vivo","Maiara & Maraisa",188677,https://open.spotify.com/track/2wmY09fsvmYgA7bKZzjAVt
180,"Broccoli (feat. Lil Yachty)",D.R.A.M.,188525,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
181,"Runaway (U & I)",Galantis,188180,https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo
182,"All In My Head (Flex)","Fifth Harmony",186864,https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm
183,"Fast Car - Radio Edit","Jonas Blue",186846,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
184,"Pumped Up Kicks","Foster The People",186061,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
185,"Thinking Out Loud","Ed Sheeran",185661,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
186,"Bitch Better Have My Money",Rihanna,185068,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
187,"Elas Gostam","Mc Kevinho",184890,https://open.spotify.com/track/5j0tH4MzB4QyJLX8Ys9ofG
188,Singular,Anavitória,184748,https://open.spotify.com/track/3eGK0WFi6ISJ9UZA6Za4HX
189,"Ela Domina o Ratatá Tum Tum - Ao Vivo","Wesley Safadão",184384,https://open.spotify.com/track/5ITDkudn3l1YoZc2TP0vhN
190,"Ain't Your Mama","Jennifer Lopez",184192,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
191,"Counting Stars",OneRepublic,182377,https://open.spotify.com/track/1QzFhzIOW7CyRJLpmq5CM0
192,"Logo Eu","Jorge & Mateus",182053,https://open.spotify.com/track/2655xYZ347fG2N6OjkoMQ8
193,"Mesmo Sem Estar","Luan Santana",181154,https://open.spotify.com/track/5zNK9ZyCrrJFlGgMMv2Xt7
194,"Where Are Ü Now (with Justin Bieber)","Jack Ü",180984,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
195,"Me, Myself & I",G-Eazy,180155,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
196,"Folgado - Ao Vivo | Acústico","Marília Mendonça",177096,https://open.spotify.com/track/2kFMqHoKwfMSBB7OBkD7DN
197,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,173301,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
198,"Alô Porteiro - Ao Vivo","Marília Mendonça",173275,https://open.spotify.com/track/1VapsxlgG0g2D80LeEXBqE
199,"A Praga",Haikaiss,172394,https://open.spotify.com/track/6jlT1zT7tKV8YUqJe08rfD
200,"Good Grief",Bastille,172202,https://open.spotify.com/track/6IGA5YrFiEr5ANrMqKkR6H
