Position,"Track Name",Artist,Streams,URL
188,"Bitch Better Have My Money",Rihanna,184366,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
189,"All In My Head (Flex)","Fifth Harmony",184020,https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm
190,"Counting Stars",OneRepublic,184005,https://open.spotify.com/track/1QzFhzIOW7CyRJLpmq5CM0
191,"Ain't Your Mama","Jennifer Lopez",183849,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
192,"Thinking Out Loud","Ed Sheeran",183621,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
193,"Não Me Deixe Sozinho","Nego do Borel",182607,https://open.spotify.com/track/0gNxi721t2RcPt5LdWGfpb
194,"Antônimos - Ao Vivo","Jorge & Mateus",181662,https://open.spotify.com/track/3SWIpewrd1V1iw09lim55f
195,"Where Are Ü Now (with Justin Bieber)","Jack Ü",180508,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
196,"Let Me Hold You (Turn Me On)","Dante Klein",179573,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
197,"Final Song",MØ,177673,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
198,"Pé Direito","Mc Davi",176579,https://open.spotify.com/track/6V3J5pbU5yBvB5zxPSyP5v
199,"The Hills","The Weeknd",175457,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
200,"Esqueceu do Ex","Pedro Paulo & Alex",175345,https://open.spotify.com/track/38ocaRllabxf59ObzmC4eX
